logFC	AveExpr	t	P.Value	adj.P.Val	B
MGP_DBA2J_G0027592	-1.26459293744567	4.87975632764795	-22.8560652188486	2.03909429134907e-27	5.01225062154304e-25	52.3005986656318
MGP_DBA2J_G0017139	0.521501614106972	3.98847878475277	22.8313518355034	2.13841779131e-27	5.0617141126897e-25	52.2780825896211
MGP_DBA2J_G0027960	0.613336470399001	7.85538352289159	22.84227051333	2.09394134615412e-27	5.04995439368717e-25	52.2485550734107
MGP_DBA2J_G0016557	0.680760070716519	3.79974847074251	22.810639598829	2.22545118605121e-27	5.17194855638301e-25	52.244952322721
MGP_DBA2J_G0000695	0.940382874782962	2.29808254369794	22.7787679008162	2.36648635509236e-27	5.4015051054983e-25	52.1497781108967
MGP_DBA2J_G0026859	-0.927563268453154	4.17715378608201	-22.6827154030524	2.84916030125972e-27	6.38911701240382e-25	51.9866164719339
MGP_DBA2J_G0021227	-1.04652499502984	2.82959300221323	-22.6463416110294	3.05716018198149e-27	6.62315617730296e-25	51.932272661945
MGP_DBA2J_G0025187	1.98187979993311	5.28922901077986	22.5257475302684	3.86427197577751e-27	8.23218739906468e-25	51.6558271744424
MGP_DBA2J_G0026046	-0.497158909362342	7.04757294451982	-22.4374143905106	4.59076655327658e-27	9.46438356193247e-25	51.4535811286962
MGP_DBA2J_G0014188	1.49038088961661	1.80594024295625	22.441000464529	4.55872160431316e-27	9.46438356193247e-25	51.4098756675381
MGP_DBA2J_G0026415	0.735605300743058	3.21085337817051	22.3311832238342	5.65179856581897e-27	1.12877014481716e-24	51.3265462354676
MGP_DBA2J_G0027005	1.2723145265498	5.08133440794231	22.3314568883506	5.64876607375115e-27	1.12877014481716e-24	51.2692004779556
MGP_DBA2J_G0035079	-1.47486395829767	3.19132214578181	-22.1096323299091	8.74310278071054e-27	1.71929753450834e-24	50.8924251011841
MGP_DBA2J_G0029029	0.438061425695111	7.83664752887065	22.0073313463583	1.07074742351707e-26	2.07368084354473e-24	50.6059322206185
MGP_DBA2J_G0017841	0.743633501948112	4.98840498059172	21.9453764249294	1.21103904223927e-26	2.31037328923915e-24	50.5006671035314
MGP_DBA2J_G0020184	2.52495941629292	-0.45392632602218	22.6559320240756	3.0008604339704e-27	6.61327552879476e-25	50.3179986818348
MGP_DBA2J_G0029129	-0.766841412908618	5.03768304217712	-21.6243225381804	2.30277774666587e-26	4.32854487615928e-24	49.8534947111681
