logFC	AveExpr	t	P.Value	adj.P.Val	B
Hsph1	0.84137819490229	8.53944303691272	32.6043758259541	2.14204276366959e-36	6.50148229537357e-34	72.8513069697081
Cep83os	-0.600535066414597	5.12472091673256	-32.570802508323	2.25487876518527e-36	6.72389024067614e-34	72.8405179113666
Ccdc134	0.768343170905559	3.87793525788703	32.5383038793964	2.36986971487713e-36	6.94494405927011e-34	72.6872854974632
Bicd2	0.476481656246607	6.93182768677407	32.4598038059392	2.67290177189144e-36	7.70022227404047e-34	72.6491931447217
Dlgap4	0.301575832733876	8.32861348590347	32.3911024945477	2.97038364097303e-36	8.41460179093644e-34	72.5250167008141
Znrf1	0.432962889704954	7.4901692839764	32.3731025480523	3.05375785481574e-36	8.5089708620169e-34	72.5081957674996
Zbtb40	0.904811391598033	4.38335722788738	32.2005014096599	3.98494661047419e-36	1.07511329425762e-33	72.2420940330583
Usp19	0.31049226753578	7.56542555246924	32.0161322639822	5.30289322335774e-36	1.40833243933455e-33	71.9528295188232
Zfp46	-0.635410167935394	5.6054984219242	-31.9549994900216	5.83178287551461e-36	1.5249663620788e-33	71.8883213327389
Vwa3a	-1.11979937161394	2.85460943624809	-32.2786003712666	3.53225162939809e-36	9.68349692659344e-34	71.8880062883751
Enox1	0.761883381933299	4.8877301721719	31.8462004921865	6.90971504512942e-36	1.75290188988156e-33	71.7212212878687
Creld2	1.0086007934207	3.87385072251145	31.9040963191707	6.31299421772657e-36	1.62578731391967e-33	71.715837208895
Spred3	0.67824971876695	6.28411287837871	31.6872171783997	8.86144666145263e-36	2.21497071918692e-33	71.4571104177103
Spry4	1.17489362879301	3.949003350969	31.6318485153408	9.66602574440642e-36	2.38106434170545e-33	71.3048250238728
Arc	2.91025999059135	7.64856884123511	31.4453406130885	1.29665818216985e-35	3.14847130319155e-33	71.0587881541087
Slc36a1	0.494057500609437	6.5971754297665	31.4307486069502	1.32689232586826e-35	3.17650547363137e-33	71.0461843482449
Chordc1	0.672447057204657	6.54983003906419	31.1042556226569	2.22798998875859e-35	5.18755422451092e-33	70.5270535957608
Rin1	0.67147599005993	6.33356627882742	31.0093827855511	2.59247950507423e-35	5.95464515510091e-33	70.3792976781929
Fbxl4	-0.679955515303132	4.04766851788778	-30.9967195899792	2.645525703739e-35	5.99546671819356e-33	70.3377459200722
Itga10	1.24148119990831	2.64017973544238	31.2895636065631	1.65922811005674e-35	3.91693058147699e-33	70.2607513484803
Irs2	1.0121329759808	6.50255006805454	30.9177417530444	3.00225770941623e-35	6.71439135354574e-33	70.2295953984431
Stip1	0.56786862311221	7.35508342948174	30.8285647768843	3.46441643357197e-35	7.64736183395102e-33	70.0698700957247
Anxa11	0.852181283877822	4.74588289863992	30.6146883076641	4.89129962192644e-35	1.05237240093524e-32	69.7687673421336
Stt3b	0.439118989958711	6.93360825905806	30.6355412562697	4.72909580584779e-35	1.03051847964096e-32	69.7638963882594
Vgf	0.870111925738792	8.04132126405238	30.5941408187386	5.05667021420946e-35	1.07435279538648e-32	69.6789059439311
Traf3	0.516796910251959	6.27935508108975	30.5731800735635	5.23123683876415e-35	1.09772015491943e-32	69.675328094615
Tmem185a	0.430116827941617	5.13286054571688	30.2163734720423	9.35215502967149e-35	1.91516360288345e-32	69.1200336106137
Ncoa5	0.398817086973045	5.95629885903946	30.2195851699573	9.30312292873662e-35	1.91516360288345e-32	69.1047776624671
Hnrnph1	0.510312494619495	8.2833197763676	30.1922144421526	9.72951887202212e-35	1.96872181271143e-32	69.0161766401788
