logFC	AveExpr	t	P.Value	adj.P.Val	B
Apol7a	-0.836559198437164	6.57060717270596	-20.5210958738993	6.20123452786346e-26	9.14613190253994e-24	48.8206025203775
D130043K22Rik	-1.96663933156097	1.94151907812463	-20.4714018034954	6.90919705805175e-26	1.0078316675668e-23	48.7166935693277
Eif4ebp3	2.69094499009885	0.626363509136219	20.5393338322623	5.9603273393711e-26	8.88959383177662e-24	48.3095521552619
Rnf227	1.71063365728851	-0.333481053660738	20.7172823308954	4.05512647065529e-26	6.33267632605627e-24	48.0802929363582
Adamts7	-1.17846862012664	2.62842675243678	-19.9917267128097	1.98289640152624e-25	2.84679827298372e-23	47.754629378259
Inca1	-0.760690167151241	3.28877782828071	-19.9823880509492	2.02441503487764e-25	2.85873246520912e-23	47.7273739739212
Pawr	0.607041597127398	3.00631096246171	19.9754623302703	2.05577649160478e-25	2.8651301222846e-23	47.7188123280736
Lonp2	-0.49958146777896	8.50095064533164	-19.9890929295352	1.99451739782647e-25	2.84679827298372e-23	47.6597621499451
Zfp467	-0.662411507778217	4.05863226133414	-19.9339856233943	2.25422408667349e-25	3.08480108520658e-23	47.5844750491716
Gm42547	0.958773689519512	1.31133900329819	19.9718967747728	2.07211459800604e-25	2.8651301222846e-23	47.5502625965774
Dnajb2	0.525338801250844	5.70116302046696	19.889686911395	2.48778731897998e-25	3.3696825379735e-23	47.4263914454988
4732465J04Rik	0.833304473769903	4.02014718231979	19.8403105053815	2.77731455694731e-25	3.68660734289186e-23	47.3774505226634
Mycl	1.10683286486631	3.7758828232244	19.8134889847209	2.94873428809466e-25	3.87539593467015e-23	47.3325159452083
Mon1b	0.561023888695276	3.5856188463952	19.7821334918451	3.16284517276209e-25	4.11603988463176e-23	47.2673532269486
Gnpda2	-1.04083767996442	1.09951978766292	-19.8560052862733	2.68174540914741e-25	3.59570591525481e-23	47.2321941893229
Tstd3	-0.617688289896879	4.69284909835717	-19.7552478731568	3.35900376757998e-25	4.32887534085987e-23	47.1528721046686
Nudcd3	-0.47308111990479	4.69086139826663	-19.738205606131	3.48971334177149e-25	4.45408220179565e-23	47.1136453075541
Gpr39	-0.913723584593296	2.49492422224311	-19.6593781163556	4.16505617001715e-25	5.11916255563033e-23	47.0151772758239
Fbxw9	-0.795301359467247	3.97206379739392	-19.6628727622646	4.13246946867645e-25	5.11916255563033e-23	46.9823394800249
Fitm2	0.591449275793758	5.88188620079357	19.6790030914486	3.98538744457476e-25	5.01197133406031e-23	46.9502278179466
Trmt1l	0.561385241873351	4.27841557243068	19.614729885067	4.60515850049797e-25	5.60815357207432e-23	46.8543946634263
Ercc3	-0.493388060575817	4.39580380085281	-19.5780484734895	5.0019803841111e-25	6.0360261471537e-23	46.7654249631137
Mapk14	0.488203957237362	6.59787804430571	19.55121463102	5.31416862291549e-25	6.35497966671894e-23	46.6568202606228
Slc39a14	0.702074200747206	7.83246610323364	19.533811918429	5.52716539545869e-25	6.55067798743916e-23	46.626228160569
Crp	0.533575107663481	8.73512498946551	19.4821368976964	6.21227209077595e-25	7.29749555158938e-23	46.5194574975821
Hlcs	-0.648648061503114	4.07291857725659	-19.4554594847085	6.59918135469496e-25	7.64503718244258e-23	46.5055181156908
Serpinb9	-0.636492216684288	3.5245738747717	-19.4409057146163	6.8205077474877e-25	7.80477757242688e-23	46.5018153690843
Esrp2	-0.375819531928639	6.1387792619999	-19.4538483684032	6.62331833645395e-25	7.64503718244258e-23	46.4361981898751
Ppme1	0.464132094191221	4.5010250990525	19.3847069685211	7.74847535238506e-25	8.7163781209796e-23	46.3197392761281
Faap100	-0.843616327221893	2.59284510916079	-19.327291391192	8.82964805408965e-25	9.84913851008286e-23	46.2707152827394
Gm8355	1.57069613729423	-0.317966366084269	19.6771146899931	4.00232756825669e-25	5.01197133406031e-23	46.0157206021842
Slc25a12	-0.506688736485625	3.82643597101618	-19.2302104571591	1.10193521530737e-24	1.20185906367846e-22	46.0036574915477
Hoga1	-0.766527488227032	6.97672960375323	-19.2469511787816	1.06056786367004e-24	1.17316481852967e-22	45.9627421607755
Ptges3	0.613783491080232	6.51180329536162	19.2291475166305	1.10461658707829e-24	1.20185906367846e-22	45.9199693345345
Med16	-0.564804536512397	4.00941061987011	-19.1821834358774	1.22996166593052e-24	1.32735863037088e-22	45.8831598663958
4931414P19Rik	0.817447428820288	1.7896290346286	19.1325422112474	1.37824976066233e-24	1.44054230890014e-22	45.7857414380058
Xrcc5	-0.462738976642297	4.52157976654356	-19.1423361962282	1.34761732295176e-24	1.42277737369975e-22	45.762704604435
Zfp207	-0.46832725671523	5.72154580715978	-19.1556155079262	1.30718676896254e-24	1.39932235251683e-22	45.7557995175866
Fbxo31	1.26611945127058	5.65115679465567	19.1413937918917	1.35053449665639e-24	1.42277737369975e-22	45.7283398356777
Bsdc1	0.370948364860743	5.96486382677605	19.1195558866679	1.41996247845784e-24	1.47254546398823e-22	45.6690600969185
Steap3	-0.583750425033197	4.54531434311016	-19.0893059804838	1.52217934884497e-24	1.56631075012156e-22	45.6402743698427
Wdr82	0.375434997056815	5.53725427110791	19.0001805339662	1.86906684548244e-24	1.9084610236103e-22	45.3979823290628
Nlrp12	1.75732186636204	0.237535799137949	18.9890879201322	1.91753790228569e-24	1.9430074896901e-22	45.384085662607
Tcp1	0.322075802439585	7.18390492061384	18.9819129060184	1.94956965857998e-24	1.96049906424171e-22	45.3499334017342
Nat8f5	-1.2155882085511	2.18683361862898	-18.9032354003225	2.3386730655799e-24	2.33410122349681e-22	45.3012077341563
Lrit1	-0.667872313991555	3.8230089295738	-18.8828016290841	2.45208762171899e-24	2.39330963902191e-22	45.202683630267
Agbl5	-0.633247326172408	2.26801879017474	-18.8579693641987	2.59748055870993e-24	2.49847514031273e-22	45.1941452468587
Coro7	-0.559052474826924	3.45456752488678	-18.8701006847925	2.52538700790151e-24	2.44686037539304e-22	45.1938563069907
Rad51c	1.81299857545791	-0.62188443617705	19.395370120052	7.5630195976928e-25	8.58047197775848e-23	45.1688094964888
Ppid	0.563530955752976	5.13239466291809	18.8916005839389	2.40257976039462e-24	2.3623587955169e-22	45.1558882753499
Hspb8	0.663615345813265	7.63983956248195	18.8950538107159	2.38342892193925e-24	2.36101757535982e-22	45.1523341619319
Cyp2j9	-1.10230221940156	1.59837742856454	-18.8485655044054	2.65480362566925e-24	2.53524196598083e-22	45.1119224252674
Commd10	-0.667563281449353	2.9284465210329	-18.8029298163359	2.95181497466051e-24	2.79874228383169e-22	45.0631125122916
Ank3	-1.00371665108877	4.74143153280151	-18.7862396417436	3.06870030844986e-24	2.88893105633783e-22	44.9302805357173
Tamm41	-0.932014561763565	0.895413026539833	-18.7419048145301	3.40259173584046e-24	3.18070441560185e-22	44.7121866268346
Cul9	-0.84876952993048	2.03484997350932	-18.6068708125866	4.66579606747244e-24	4.24203952052254e-22	44.6036676991102
Mbd1	1.14945623850633	5.89340066571943	18.6133027969895	4.59597423156384e-24	4.20737668619161e-22	44.4909708533248
Hnrnph3	0.675437639358923	3.28604402823149	18.5440620465754	5.4070315421992e-24	4.84952274940218e-22	44.4413095906991
mt-Rnr1	0.951183899801792	9.32452017139035	18.5595122021328	5.21425697547793e-24	4.70843857772068e-22	44.386013018748
1700001C19Rik	-0.9291191371876	1.51062628402593	-18.4972614645134	6.03640052865706e-24	5.37766312868415e-22	44.2959534341663
Cabcoco1	-1.23840071292317	0.203887129388438	-18.6826922429279	3.90699725730881e-24	3.60149177732758e-22	44.2706655501494
Zfp810	-1.0636810493677	2.32064370445307	-18.4591356190633	6.60390671280693e-24	5.76712221748679e-22	44.2684109413886
Il17ra	0.539930488272542	4.25211084808752	18.475021456392	6.36112566416265e-24	5.62917213773966e-22	44.2174212283601
Dock7	-0.628413867266448	3.66625014113599	-18.4439979693746	6.84402407990416e-24	5.93775004161097e-22	44.1823086100128
Tmem9	-0.620949585227107	3.66386884337956	-18.4314333375905	7.05006262610181e-24	6.03758266444358e-22	44.152607557423
Xrn2	-0.437080556052242	5.37147125180798	-18.4368744514307	6.96007398534913e-24	5.999222213086e-22	44.0779794534976
